Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística,Data,Valor US$ FOB_mensal,Quilograma Líquido_mensal,Valor US$ FOB_anual,Quilograma Líquido_anual
28,2,2,16,96062100,"Botões de plástico, não recobertos de matérias têxteis",960621,"Botões de plásticos, não recobertos de matérias têxteis",39,3,25,14,14,4,4,656,10,10,2024-10-01,656,10,656,10
29,3,0,2,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,7558,6288,6288,2024-10-01,1524439,1324675,1524439,1324675
29,3,0,4,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,4876,4028,4028,2024-10-01,1524439,1324675,1524439,1324675
29,3,0,6,6031900,"Outros flores e seus botões, cortados para buquês, ornamentais frescos",60319,"Outras flores frescas e seus botões, cortadas para buquês ou para ornamentação",5,13,2,18,1,12,0,6436,880,857,2024-10-01,6436,880,6436,880
29,3,0,13,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,16451,12926,12926,2024-10-01,1524439,1324675,1524439,1324675
29,3,1,1,8045020,Mangas frescas ou secas,80450,"Goiabas, mangas e mangostões, frescos ou secos",8,36,3,8,1,12,4,447012,516734,516734,2024-10-01,583288,657582,583288,657582
29,3,1,1,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,4106241,8694101,8694101,2024-10-01,8220351,15957359,8220351,15957359
29,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,7334817,10386975,10386975,2024-10-01,17343784,25287186,17343784,25287186
29,3,1,1,20082090,"Abacaxis (ananases), preparados ou conservados de outro modo",200820,Abacaxis preparados ou conservados,17,14,9,21,3,11,4,1941,1026,1026,2024-10-01,1941,1026,1941,1026
29,3,1,1,20089900,"Outras frutas, partes de plantas, preparadas/conservadas de outro modo",200899,"Outras frutas e partes de plantas, preparadas ou conservadas",17,14,9,21,3,11,4,59370,16728,16728,2024-10-01,59370,16728,59370,16728
29,3,1,1,26110000,Minérios de tungstênio (volfrâmio) e seus concentrados,261100,Minérios de tungstênio e seus concentrados,24,19,13,11,4,13,4,300183,20000,20000,2024-10-01,300183,20000,300183,20000
29,3,1,1,52091200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, crus, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520912,"Tecido de algodão cru, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,19591,6898,6898,2024-10-01,20122,6995,20122,6995
29,3,1,6,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,233217,303682,303682,2024-10-01,8220351,15957359,8220351,15957359
29,3,1,6,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,145547,173065,173065,2024-10-01,17343784,25287186,17343784,25287186
29,3,1,7,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,5415,12960,12960,2024-10-01,8220351,15957359,8220351,15957359
29,3,1,7,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,48920,90160,90160,2024-10-01,17343784,25287186,17343784,25287186
29,3,1,15,85492900,"Outros desperdícios e resíduos do tipo utilizado principalmente para a recuperação de metais preciosos, não classificados em códigos anteriores",854929,"Outros resíduos e sucata elétrica e eletrônica, do tipo utilizado principalmente para a recuperação de metais preciosos, não classificados nos códigos anteriores  ",37,11,23,12,12,6,4,2793,1834,1834,2024-10-01,36449,21626,36449,21626
30,2,1,1,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,159165,32976,32976,2024-10-01,811265,145440,811265,145440
30,2,1,1,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,6539,1029,1029,2024-10-01,746513,108051,746513,108051
30,2,1,15,25070010,"Caulim (caulino), mesmo calcinados",250700,"Caulim e outras argilas caulínicas, mesmo calcinadas",21,4,12,24,4,13,4,37700,130000,130000,2024-10-01,37700,130000,37700,130000
30,2,1,15,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,73754,13939,13939,2024-10-01,811265,145440,811265,145440
30,2,1,15,52092900,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados",520929,"Outros tecidos de algodão branqueado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,7114,1092,1092,2024-10-01,94212,14718,94212,14718
30,2,1,15,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",30,35,18,1,8,3,4,2182,355,355,2024-10-01,746513,108051,746513,108051
31,0,1,7,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",13,29,6,3,3,11,4,44365,24389,24389,2024-10-01,1412743,776433,1412743,776433
32,3,0,2,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,47781,43214,43214,2024-10-01,1524439,1324675,1524439,1324675
32,3,0,4,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,44549,40095,40095,2024-10-01,1524439,1324675,1524439,1324675
32,3,0,8,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,209550,188001,188001,2024-10-01,1524439,1324675,1524439,1324675
32,3,0,10,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,1366,1337,1337,2024-10-01,1524439,1324675,1524439,1324675
32,3,0,13,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,247665,217904,217904,2024-10-01,1524439,1324675,1524439,1324675
32,3,0,14,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,144850,136441,136441,2024-10-01,1524439,1324675,1524439,1324675
32,3,1,6,21069090,Outras preparações alimentícias,210690,Outras preparações alimentícias,18,28,10,20,3,11,4,18409,7405,7405,2024-10-01,21107,9917,21107,9917
32,3,1,6,22019000,"Outras águas, não adicionadas de açúcar ou de outros edulcorantes nem aromatizadas; gelo e neve",220190,"Outras águas, não adicionadas de açúcar nem aromatizadas; gelo e neve",19,37,11,4,3,11,1,120,336,336,2024-10-01,120,336,120,336
32,3,1,6,27101911,Querosenes de aviação,271019,"Outros óleos de petróleo ou de minerais betuminosos e preparações, exceto desperdícios",25,39,14,6,4,13,2,201961,243691,307,2024-10-01,457973,582495,457973,582495
33,3,0,2,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,108389,87182,87182,2024-10-01,1524439,1324675,1524439,1324675
33,3,0,10,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,16020,14400,14400,2024-10-01,1524439,1324675,1524439,1324675
33,3,0,13,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,10,17,3,8,1,12,4,52741,50176,50176,2024-10-01,1524439,1324675,1524439,1324675
33,3,1,1,8055000,"Limões (Citrus limon, Citrus limonum) e limas (Citrus aurantifolia, Citrus latifolia), frescos ou secos",80550,"Limões e limas, frescos ou secos",9,6,3,8,1,12,4,60,92,92,2024-10-01,60,92,60,92
33,3,1,1,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,2575182,4626818,4626818,2024-10-01,8220351,15957359,8220351,15957359
33,3,1,1,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,3123538,4430453,4430453,2024-10-01,17343784,25287186,17343784,25287186
33,3,1,6,8071100,Melancias frescas,80711,Melancias frescas,10,17,3,8,1,12,4,230470,320213,320213,2024-10-01,8220351,15957359,8220351,15957359
33,3,1,6,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,58266,67405,67405,2024-10-01,17343784,25287186,17343784,25287186
33,3,1,7,8071900,Melões frescos,80719,Melões frescos,10,17,3,8,1,12,4,24230,39508,39508,2024-10-01,17343784,25287186,17343784,25287186
