Ano,Mês,UF do Produto,Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,RODOVIARIA,0147600 - ALF - CORUMBÁ,52093900,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, tintos",520939,"Outros tecidos de algodão tinto, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,3168,534,534
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,VIA NAO DECLARADA,0147600 - ALF - CORUMBÁ,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,1416,260,260
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,VIA NAO DECLARADA,0147600 - ALF - CORUMBÁ,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,2191,305,305
2024,10. Outubro,Rio Grande do Norte,Bélgica,Europa,MARITIMA,0317900 - ALF - FORTALEZA,8071900,Melões frescos,80719,Melões frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,28784,56784,56784
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,AEREA,0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS,8072000,Mamões (papaias) frescos,80720,Mamões (papaias) frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,21060,16200,16200
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0317900 - ALF - FORTALEZA,8011900,Cocos frescos,80119,"Cocos frescos, mesmo sem casca ou pelados",801,"Cocos, castanha do Brasil e castanha de caju, frescos ou secos, mesmo sem casca ou pelados",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,6425,6425,6425
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0317900 - ALF - FORTALEZA,8045020,Mangas frescas ou secas,80450,"Goiabas, mangas e mangostões, frescos ou secos",804,"Tâmaras, figos, ananases (abacaxis), abacates, goiabas, mangas e mangostões, frescos ou secos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,69524,70424,70424
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0317900 - ALF - FORTALEZA,8071100,Melancias frescas,80711,Melancias frescas,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,277158,535800,535800
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0317900 - ALF - FORTALEZA,8071900,Melões frescos,80719,Melões frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,397902,612444,612444
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0317900 - ALF - FORTALEZA,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",1704,Produtos de confeitaria sem cacau (incluído o chocolate branco),17,Açúcares e produtos de confeitaria,IV,"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados",QUILOGRAMA LIQUIDO,73948,45325,45325
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0417902 - IRF - PORTO DE SUAPE,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",1704,Produtos de confeitaria sem cacau (incluído o chocolate branco),17,Açúcares e produtos de confeitaria,IV,"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados",QUILOGRAMA LIQUIDO,34400,21792,21792
2024,10. Outubro,Rio Grande do Norte,Canadá,América do Norte,MARITIMA,0717600 - PORTO DO RIO DE JANEIRO,68029390,Outros granitos trabalhados de outro modo e suas obras,680293,Granitos trabalhados de outro modo e suas obras,6802,"Pedras de cantaria ou de construção (exceto de ardósia) trabalhadas e obras destas pedras, exceto as da posição 6801; cubos, pastilhas e artigos semelhantes, para mosaicos, de pedra natural (incluída a ardósia), mesmo com suporte; grânulos, fragmentos e",68,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes",XIII,"Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes; Produtos cerâmicos; Vidro e suas obras",QUILOGRAMA LIQUIDO,43023,43460,43460
2024,10. Outubro,Rio Grande do Norte,Chile,América do Sul,MARITIMA,0817800 - PORTO DE SANTOS,25010090,"Outros tipos de sal, cloreto de sódio puro e água do mar",250100,"Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes",2501,"Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes",25,"Sal; enxofre; terras e pedras; gesso, cal e cimento",V,Produtos minerais,QUILOGRAMA LIQUIDO,35085,275000,275000
2024,10. Outubro,Rio Grande do Norte,Chile,América do Sul,RODOVIARIA,1017500 - ALF - URUGUAIANA,52112020,"Tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não",521120,"Tecidos de algodão, branqueados, com fibras sintéticas ou artificiais, contendo < 85% em peso de algodão, com peso > 200 g/m2",5211,"Tecidos de algodão, contendo menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,7217,829,829
